epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,997.95,2.2596,2.40727,1.46874,0.0255,0.43042,0.1101,0.04366,2.06735,3.16326,1.44905,0.000653846,0.000653846,0.000653846
2,1777.12,2.05613,1.80008,1.37768,0.39333,0.46383,0.37288,0.13506,2.05079,1.96592,1.37344,0.00129437,0.00129437,0.00129437
3,2523,2.03385,1.76477,1.35445,0.3605,0.45151,0.33242,0.12301,2.00214,2.03173,1.41306,0.00190849,0.00190849,0.00190849
4,3249.35,1.97476,1.7148,1.33709,0.35307,0.52877,0.37121,0.15244,1.89564,1.99745,1.34581,0.0018812,0.0018812,0.0018812
5,3963.23,1.97212,1.66067,1.29904,0.38894,0.47589,0.36634,0.14064,1.90807,1.81083,1.30189,0.0018416,0.0018416,0.0018416
6,4668.9,1.9335,1.61731,1.30745,0.46573,0.50433,0.49583,0.20165,1.94427,1.88921,1.37271,0.001802,0.001802,0.001802
7,5377.14,1.95942,1.60595,1.30148,0.46931,0.50474,0.46622,0.20166,1.93527,1.6871,1.32657,0.0017624,0.0017624,0.0017624
8,6087.19,1.91693,1.56523,1.28742,0.52956,0.51788,0.51209,0.2321,1.80717,1.63739,1.27546,0.0017228,0.0017228,0.0017228
9,6775.94,1.91623,1.58077,1.28266,0.51678,0.53188,0.51177,0.21193,1.9037,1.61331,1.30322,0.0016832,0.0016832,0.0016832
10,7415.8,1.88904,1.53467,1.26516,0.55362,0.5521,0.57675,0.25154,1.75598,1.60901,1.26481,0.0016436,0.0016436,0.0016436
11,8048.89,1.87185,1.52782,1.25737,0.45229,0.39969,0.40426,0.17318,1.9309,2.14049,1.35917,0.001604,0.001604,0.001604
12,8695.04,1.89536,1.48655,1.26771,0.50837,0.46812,0.49521,0.21079,1.82496,1.63276,1.26893,0.0015644,0.0015644,0.0015644
13,9325.3,1.87984,1.49201,1.26909,0.4955,0.53655,0.50405,0.22138,1.78847,1.5991,1.25353,0.0015248,0.0015248,0.0015248
14,10171.2,1.87134,1.49081,1.26759,0.55978,0.54779,0.54366,0.24591,1.82318,1.61076,1.28477,0.0014852,0.0014852,0.0014852
